Fecha Desde; Fecha Hasta; Código Variedad; Descripción Variedad; Origen; Descripción Origen; Kilos; Precio Más Frecuente; Precio Máximo; Precio Mínimo
20230101; 20230131; CA 0101; VACUNO CANAL                  ; 001; ALAVA               ; 000020105; 5,92; 5,92; 5,92
20230101; 20230131; CA 0101; VACUNO CANAL                  ; 006; BADAJOZ             ; 000007452; 5,92; 5,92; 5,92
20230101; 20230131; CA 0101; VACUNO CANAL                  ; 008; BARCELONA           ; 000206752; 5,92; 5,92; 5,92
20230101; 20230131; CA 0101; VACUNO CANAL                  ; 010; CACERES             ; 001270149; 5,92; 5,92; 5,92
20230101; 20230131; CA 0101; VACUNO CANAL                  ; 014; CORDOBA             ; 000038580; 5,92; 5,92; 5,92
20230101; 20230131; CA 0101; VACUNO CANAL                  ; 015; LA CORUÑA           ; 000020320; 5,92; 5,92; 5,92
20230101; 20230131; CA 0101; VACUNO CANAL                  ; 017; GERONA              ; 000046992; 5,92; 5,92; 5,92
20230101; 20230131; CA 0101; VACUNO CANAL                  ; 019; GUADALAJARA         ; 000039785; 5,92; 5,92; 5,92
20230101; 20230131; CA 0101; VACUNO CANAL                  ; 024; LEON                ; 000022980; 5,92; 5,92; 5,92
20230101; 20230131; CA 0101; VACUNO CANAL                  ; 025; LERIDA              ; 000066033; 5,92; 5,92; 5,92
20230101; 20230131; CA 0101; VACUNO CANAL                  ; 027; LUGO                ; 000073920; 5,92; 5,92; 5,92
20230101; 20230131; CA 0101; VACUNO CANAL                  ; 028; MADRID              ; 001059663; 5,92; 5,92; 5,92
20230101; 20230131; CA 0101; VACUNO CANAL                  ; 030; MURCIA              ; 000020700; 5,92; 5,92; 5,92
20230101; 20230131; CA 0101; VACUNO CANAL                  ; 031; NAVARRA             ; 000017892; 5,92; 5,92; 5,92
20230101; 20230131; CA 0101; VACUNO CANAL                  ; 032; ORENSE              ; 000032740; 5,92; 5,92; 5,92
20230101; 20230131; CA 0101; VACUNO CANAL                  ; 033; ASTURIAS            ; 000138177; 5,92; 5,92; 5,92
20230101; 20230131; CA 0101; VACUNO CANAL                  ; 036; PONTEVEDRA          ; 000130520; 5,92; 5,92; 5,92
20230101; 20230131; CA 0101; VACUNO CANAL                  ; 037; SALAMANCA           ; 000151240; 5,92; 5,92; 5,92
